"コード","銘柄名","市場","現在値","前日比(%)","株価(円)","株価騰落【率】(%)","時価総額(百万円)","出来高増加率(倍)"
"1420","サンヨーホームズ","東S","722","-2.0(-0.28%)","722.0","-0.28","9,354","0.46"
"1429","日本アクア","東P","899","-9.0(-0.99%)","899.0","-0.99","31,249","0.85"
"142A","ジンジブ","東G","672","+6.0(+0.90%)","672.0","0.90","1,952","0.55"
"1430","ファーストコーポレーション","東S","1033","+15.0(+1.47%)","1,033.0","1.47","13,805","0.77"
"1431","Ｌｉｂ　Ｗｏｒｋ","東G","641","-4.0(-0.62%)","641.0","-0.62","15,481","2.00"
"1433","ベステラ","東P","1350","+31.0(+2.35%)","1,350.0","2.35","12,551","1.00"
"1434","ＪＥＳＣＯ　ＨＬＤＧ","東S","2014","+44.0(+2.23%)","2,014.0","2.23","14,048","1.29"
"1435","ｒｏｂｏｔ　ｈｏｍｅ","東S","169","+0.0(+0.00%)","169.0","0.00","15,400","1.45"
"1436","グリーンエナジー＆カンパニー","東G","2480","+3.0(+0.12%)","2,480.0","0.12","10,629","2.22"
"1438","岐阜造園","東S","1794","-14.0(-0.77%)","1,794.0","-0.77","5,821","2.86"
"143A","イシン","東G","834","+17.0(+2.08%)","834.0","2.08","1,612","0.96"
"1443","技研ＨＬＤＧ","東S","311","+18.0(+6.14%)","311.0","6.14","5,050","2.36"
"1444","ニッソウ","東G","2903","-50.0(-1.69%)","2,903.0","-1.69","3,160","1.23"
"1446","キャンディル","東S","582","+4.0(+0.69%)","582.0","0.69","6,247","0.30"
"1447","ＳＡＡＦＨＬＤＧ","東G","331","+28.0(+9.24%)","331.0","9.24","8,092","6.00"
"1449","ＦＵＪＩジャパン","札","255","-3.0(-1.16%)","255.0","-1.16","543","1.67"
"1450","ＴＡＮＡＫＥＮ","東S","1442","+5.0(+0.35%)","1,442.0","0.35","12,545","2.00"
"145A","Ｌ　ｉｓ　Ｂ","東G","1104","+36.0(+3.37%)","1,104.0","3.37","5,658","2.75"
"146A","コロンビア・ワークス","東S","3365","+15.0(+0.45%)","3,365.0","0.45","25,966","0.61"
"147A","ソラコム","東G","1145","-2.0(-0.17%)","1,145.0","-0.17","51,897","1.32"
"148A","ハッチ・ワーク","東G","2078","+24.0(+1.17%)","2,078.0","1.17","3,987","1.50"
"1491","中外鉱業","東S","1090","+11.0(+1.02%)","1,090.0","1.02","15,791","0.84"
"149A","シンカ","東G","846","+3.0(+0.36%)","846.0","0.36","2,713","1.69"
"150A","ＪＳＨ","東G","403","-2.0(-0.49%)","403.0","-0.49","2,283","0.53"
"1514","住石ＨＬＤＧ","東S","648","+22.0(+3.51%)","648.0","3.51","43,560","1.40"
"1515","日鉄鉱業","東P","3160","+110.0(+3.61%)","3,160.0","3.61","252,800","1.99"
"1518","三井松島ＨＬＤＧ","東P","1459","+2.0(+0.14%)","1,459.0","0.14","95,305","0.54"
"151A","ダイブ","東G","721","+14.0(+1.98%)","721.0","1.98","6,178","0.74"
"153A","カウリス","東G","1210","+26.0(+2.20%)","1,210.0","2.20","7,899","0.74"
"155A","情報戦略テクノロジー","東G","1399","+91.0(+6.96%)","1,399.0","6.96","14,882","1.70"
"156A","マテリアルグループ","東G","929","+34.0(+3.80%)","929.0","3.80","9,176","1.43"
"157A","グリーンモンスター","東G","1397","+154.0(+12.39%)","1,397.0","12.39","4,560","1.40"
"1605","ＩＮＰＥＸ","東P","3230.0","+8.0(+0.25%)","3,230.0","0.25","4,067,009","0.76"
"160A","アズパートナーズ","東S","2471","-40.0(-1.59%)","2,471.0","-1.59","8,850","3.73"
"1662","石油資源開発","東P","1887","-5.0(-0.26%)","1,887.0","-0.26","484,960","0.78"
"1663","Ｋ＆Ｏエナジーグループ","東P","4225","+10.0(+0.24%)","4,225.0","0.24","119,720","0.47"
"166A","タスキＨＬＤＧ","東G","898","+14.0(+1.58%)","898.0","1.58","55,350","1.54"
"167A","リョーサン菱洋ＨＬＤＧ","東P","3215","+80.0(+2.55%)","3,215.0","2.55","173,610","2.10"
"168A","イタミアート","東G","1570","-40.0(-2.48%)","1,570.0","-2.48","2,308","0.10"
"1711","ＳＤＳＨＬＤＧ","東S","260","+3.0(+1.17%)","260.0","1.17","2,713","1.11"
"1716","第一カッター興業","東S","1397","-3.0(-0.21%)","1,397.0","-0.21","16,764","0.90"
"1717","明豊ファシリティワークス","東S","1129","+11.0(+0.98%)","1,129.0","0.98","14,424","0.45"
"1718","美樹工業","東S","8750","-10.0(-0.11%)","8,750.0","-0.11","10,091","0.45"
"1719","安藤・間","東P","2033.0","+15.5(+0.77%)","2,033.0","0.77","368,016","0.63"
"1720","東急建設","東P","1368","-8.0(-0.58%)","1,368.0","-0.58","146,049","0.76"
"1721","コムシスＨＬＤＧ","東P","4986.0","+42.0(+0.85%)","4,986.0","0.85","663,138","0.76"
"1723","日本電技","東S","10010","-50.0(-0.50%)","10,010.0","-0.50","164,114","0.73"
"1724","シンクレイヤ","東S","735","-7.0(-0.94%)","735.0","-0.94","3,634","1.54"
"1726","ビーアールＨＬＤＧ","東P","359","+0.0(+0.00%)","359.0","0.00","16,440","1.11"
"1736","オーテック","東S","2714","+8.0(+0.30%)","2,714.0","0.30","46,409","1.35"
"1738","ＮＩＴＴＯＨ","名M","599","-1.0(-0.17%)","599.0","-0.17","2,432","1.42"
"173A","ハンモック","東G","1537","+2.0(+0.13%)","1,537.0","0.13","6,701","1.46"
"1758","太洋基礎工業","東S","2729","+15.0(+0.55%)","2,729.0","0.55","6,710","0.36"
"175A","Ｗｉｌｌ　Ｓｍａｒｔ","東G","853","-1.0(-0.12%)","853.0","-0.12","1,255","0.48"
"1762","高松コンストラクショングループ","東P","4040","-95.0(-2.30%)","4,040.0","-2.30","140,667","1.31"
"1764","工藤建設","東S","2929","+0.0(+0.00%)","2,929.0","0.00","3,899","0.62"
"1766","東建コーポレーション","東P","14930","-180.0(-1.19%)","14,930.0","-1.19","201,137","0.72"
"1768","ソネック","東S","1548","-37.0(-2.33%)","1,548.0","-2.33","11,610","1.49"
"1770","藤田エンジニアリング","東S","1785","+11.0(+0.62%)","1,785.0","0.62","18,207","0.50"
"1771","日本乾溜工業","福","933","-2.0(-0.21%)","933.0","-0.21","4,760","3.20"
"1773","ワイ・ティー・エル","東P","90","+2.0(+2.27%)","90.0","2.27","1,049,944","0.21"
"1776","三井住建道路","東S","1598","-14.0(-0.87%)","1,598.0","-0.87","14,825","4.06"
"1777","川崎設備工業","名M","2755","+43.0(+1.59%)","2,755.0","1.59","33,060","0.64"
"177A","コージンバイオ","東G","1368","+1.0(+0.07%)","1,368.0","0.07","6,993","0.67"
"1780","ヤマウラ","東P","1500","-9.0(-0.60%)","1,500.0","-0.60","31,655","0.62"
"1783","ｆａｎｔａｓｉｓｔａ","東S","65","+3.0(+4.84%)","65.0","4.84","11,053","0.70"
"1786","オリエンタル白石","東P","435","-2.0(-0.46%)","435.0","-0.46","60,382","0.68"
"1787","ナカボーテック","東S","5850","+20.0(+0.34%)","5,850.0","0.34","15,225","0.31"
"1788","三東工業社","東S","5210","+150.0(+2.96%)","5,210.0","2.96","3,574","6.67"
"1793","大本組","東S","1595","-15.0(-0.93%)","1,595.0","-0.93","42,737","1.29"
"1795","マサル","東S","4675","+115.0(+2.52%)","4,675.0","2.52","4,213","10.50"
"1798","守谷商会","東S","6760","+30.0(+0.45%)","6,760.0","0.45","15,278","1.80"
"1799","第一建設工業","東S","3860","+10.0(+0.26%)","3,860.0","0.26","80,514","0.78"
"1801","大成建設","東P","15825.0","+95.0(+0.60%)","15,825.0","0.60","2,582,417","0.72"
"1802","大林組","東P","3626.0","+16.0(+0.44%)","3,626.0","0.44","2,563,404","0.78"
"1803","清水建設","東P","2805.0","+26.5(+0.95%)","2,805.0","0.95","2,010,314","0.70"
"1807","佐藤渡辺","東S","1928","+14.0(+0.73%)","1,928.0","0.73","12,323","1.45"
"1808","長谷工コーポレーション","東P","3260.0","+20.0(+0.62%)","3,260.0","0.62","953,484","0.91"
"1810","松井建設","東S","1592","-5.0(-0.31%)","1,592.0","-0.31","48,683","0.77"
"1811","錢高組","東S","8500","-50.0(-0.58%)","8,500.0","-0.58","62,502","1.91"
"1812","鹿島建設","東P","6504.0","+27.0(+0.42%)","6,504.0","0.42","3,438,379","0.55"
"1813","不動テトラ","東P","3160","+10.0(+0.32%)","3,160.0","0.32","52,107","0.64"
"1814","大末建設","東P","3955","-30.0(-0.75%)","3,955.0","-0.75","41,979","0.57"
"1815","鉄建建設","東P","5130","-10.0(-0.19%)","5,130.0","-0.19","76,816","0.64"
"1820","西松建設","東P","5971.0","-26.0(-0.43%)","5,971.0","-0.43","249,537","1.05"
"1822","大豊建設","東S","811","+1.0(+0.12%)","811.0","0.12","73,327","0.80"
"1826","佐田建設","東S","1220","+3.0(+0.25%)","1,220.0","0.25","16,331","0.84"
"1827","ナカノフドー建設","東S","1165","+7.0(+0.60%)","1,165.0","0.60","40,190","0.83"
"1828","田辺工業","東S","2770","+86.0(+3.20%)","2,770.0","3.20","29,717","0.61"
"1832","北海電工","札","1120","+3.0(+0.27%)","1,120.0","0.27","23,221","1.27"
"1833","奥村組","東P","6710","+90.0(+1.36%)","6,710.0","1.36","259,444","1.08"
"1835","東鉄工業","東P","4830","-35.0(-0.72%)","4,830.0","-0.72","174,363","0.98"
"1840","土屋ＨＬＤＧ","東S","230","+1.0(+0.44%)","230.0","0.44","5,928","1.83"
"1841","サンユー建設","東S","1585","+0.0(+0.00%)","1,585.0","0.00","6,340","9.06"
"1844","大盛工業","東S","641","+18.0(+2.89%)","641.0","2.89","12,009","1.37"
"1847","イチケン","東S","4985","-35.0(-0.70%)","4,985.0","-0.70","36,313","0.48"
"1848","富士ピー・エス","東S","636","-8.0(-1.24%)","636.0","-1.24","11,831","0.57"
"184A","学びエイド","東G","427","-1.0(-0.23%)","427.0","-0.23","1,458","1.91"
"1850","南海辰村建設","東S","627","+12.0(+1.95%)","627.0","1.95","18,080","1.01"
"1852","淺沼組","東P","1115","+8.0(+0.72%)","1,115.0","0.72","90,077","0.77"
"1853","森組","東S","346","+0.0(+0.00%)","346.0","0.00","11,349","1.07"
"1860","戸田建設","東P","1405.0","+11.5(+0.83%)","1,405.0","0.83","453,333","0.50"
"1861","熊谷組","東P","1788","+15.0(+0.85%)","1,788.0","0.85","309,578","1.31"
"1866","北野建設","東S","1538","+8.0(+0.52%)","1,538.0","0.52","38,984","0.42"
"1867","植木組","東S","2890","+12.0(+0.42%)","2,890.0","0.42","19,865","0.40"
"1869","名工建設","名M","1728","+18.0(+1.05%)","1,728.0","1.05","46,760","0.61"
"186A","アストロスケールＨＬＤＧ","東G","942","+21.0(+2.28%)","942.0","2.28","127,795","1.21"
"1870","矢作建設工業","東P","2453","+9.0(+0.37%)","2,453.0","0.37","109,422","0.96"
"1871","ピーエス・コンストラクション","東P","3230","+30.0(+0.94%)","3,230.0","0.94","153,380","0.89"
"1873","日本ハウスＨＬＤＧ","東P","325","+3.0(+0.93%)","325.0","0.93","13,000","0.47"
"1878","大東建託","東P","3117.0","+50.0(+1.63%)","3,117.0","1.63","1,074,102","1.29"
"1879","新日本建設","東P","2104","+11.0(+0.53%)","2,104.0","0.53","129,103","1.15"
"1882","東亜道路工業","東P","1798","+1.0(+0.06%)","1,798.0","0.06","90,610","0.82"
"1885","東亜建設工業","東P","3255","-40.0(-1.21%)","3,255.0","-1.21","286,370","0.77"
"1887","日本国土開発","東P","654","+3.0(+0.46%)","654.0","0.46","58,373","1.23"
"1888","若築建設","東P","4865","+35.0(+0.72%)","4,865.0","0.72","63,075","1.03"
"1893","五洋建設","東P","1684.5","+7.0(+0.42%)","1,684.5","0.42","481,790","0.90"
"1897","金下建設","東S","3165","+95.0(+3.09%)","3,165.0","3.09","12,048","0.22"
"1898","世紀東急工業","東P","1698","-30.0(-1.74%)","1,698.0","-1.74","63,547","2.33"
"1899","福田組","東P","8250","+150.0(+1.85%)","8,250.0","1.85","74,152","1.13"
"189A","Ｄ＆Ｍカンパニー","東G","951","+0.0(+0.00%)","951.0","0.00","2,174","0.82"
"1904","大成温調","東S","4760","-25.0(-0.52%)","4,760.0","-0.52","32,761","0.98"
"1905","テノックス","東S","1401","-3.0(-0.21%)","1,401.0","-0.21","10,294","3.25"
"1909","日本ドライケミカル","東S","10600","-60.0(-0.56%)","10,600.0","-0.56","76,127","0.67"
"190A","Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅ","東G","134","+7.0(+5.51%)","134.0","5.51","9,536","2.23"
"1911","住友林業","東P","1681.5","-12.5(-0.74%)","1,681.5","-0.74","1,040,102","0.54"
"1914","日本基礎技術","東S","691","+6.0(+0.88%)","691.0","0.88","20,278","2.24"
"1921","巴コーポレーション","東S","2269","-46.0(-1.99%)","2,269.0","-1.99","92,491","1.24"
"1925","大和ハウス工業","東P","5339.0","-61.0(-1.13%)","5,339.0","-1.13","3,521,798","0.98"
"1926","ライト工業","東P","3650","+15.0(+0.41%)","3,650.0","0.41","165,957","1.30"
"1928","積水ハウス","東P","3575.0","-19.0(-0.53%)","3,575.0","-0.53","2,370,662","1.22"
"1929","日特建設","東P","1368","+6.0(+0.44%)","1,368.0","0.44","57,148","0.73"
"192A","インテグループ","東G","1983","+1.0(+0.05%)","1,983.0","0.05","4,244","1.82"
"1930","北陸電気工事","東P","1586","+20.0(+1.28%)","1,586.0","1.28","47,523","1.03"
"1934","ユアテック","東P","3000","+18.0(+0.60%)","3,000.0","0.60","207,574","0.72"
"1938","日本リーテック","東P","2311","-18.0(-0.77%)","2,311.0","-0.77","59,203","0.71"
"1939","四電工","東P","1730","+12.0(+0.70%)","1,730.0","0.70","84,366","0.59"
"1941","中電工","東P","4795","+90.0(+1.91%)","4,795.0","1.91","278,772","1.55"
"1942","関電工","東P","5767.0","+24.0(+0.42%)","5,767.0","0.42","1,183,898","0.95"
"1944","きんでん","東P","7676.0","+92.0(+1.21%)","7,676.0","1.21","1,534,848","0.94"
"1945","東京エネシス","東P","1944","-18.0(-0.92%)","1,944.0","-0.92","67,989","0.44"
"1946","トーエネック","東P","2222","+18.0(+0.82%)","2,222.0","0.82","214,756","0.67"
"1948","弘電社","東S","6860","+160.0(+2.39%)","6,860.0","2.39","61,534","0.45"
"1949","住友電設","東P","9700","+0.0(+0.00%)","9,700.0","0.00","345,668","0.89"
"194A","ＷＯＬＶＥＳ　ＨＡＮＤ","東G","1883","+33.0(+1.78%)","1,883.0","1.78","15,015","0.30"
"1950","日本電設工業","東P","3665","-5.0(-0.14%)","3,665.0","-0.14","225,534","1.24"
"1951","エクシオグループ","東P","2740.5","+14.0(+0.51%)","2,740.5","0.51","571,736","0.69"
"1952","新日本空調","東P","3560","-5.0(-0.14%)","3,560.0","-0.14","172,889","0.71"
"1959","クラフティア","東P","8496.0","+53.0(+0.63%)","8,496.0","0.63","602,069","1.31"
"195A","ＭＵＳＣＡＴ　ＧＲＯＵＰ","東G","889","+39.0(+4.59%)","889.0","4.59","2,696","0.26"
"1960","サンテック","東S","1460","-29.0(-1.95%)","1,460.0","-1.95","23,360","0.72"
"1961","三機工業","東P","6450","+10.0(+0.16%)","6,450.0","0.16","346,114","0.66"
"1963","日揮ＨＬＤＧ","東P","2043.0","+21.5(+1.06%)","2,043.0","1.06","530,757","0.70"
"1964","中外炉工業","東P","4615","+40.0(+0.87%)","4,615.0","0.87","35,997","0.87"
"1965","テクノ菱和","東S","8210","-80.0(-0.97%)","8,210.0","-0.97","174,287","0.61"
"1966","高田工業所","東S","1938","+31.0(+1.63%)","1,938.0","1.63","14,214","1.15"
"1967","ヤマト","東S","2438","+3.0(+0.12%)","2,438.0","0.12","58,823","1.99"
"1968","太平電業","東P","2368","+16.0(+0.68%)","2,368.0","0.68","154,384","1.26"
"1969","高砂熱学工業","東P","4678.0","+36.0(+0.78%)","4,678.0","0.78","657,160","0.66"
"196A","ＭＦＳ","東G","287","+3.0(+1.06%)","287.0","1.06","2,927","0.30"
"1972","三晃金属工業","東S","1541","+12.0(+0.78%)","1,541.0","0.78","30,512","0.67"
"1975","朝日工業社","東P","3950","+55.0(+1.41%)","3,950.0","1.41","107,440","0.66"
"1976","明星工業","東P","1782","+2.0(+0.11%)","1,782.0","0.11","98,219","0.62"
"1979","大氣社","東P","3610","+25.0(+0.70%)","3,610.0","0.70","242,462","0.77"
"197A","タウンズ","東S","535","+14.0(+2.69%)","535.0","2.69","56,926","1.59"
"1980","ダイダン","東P","2818","-4.0(-0.14%)","2,818.0","-0.14","388,578","0.63"
"1981","協和日成","東S","1607","-29.0(-1.77%)","1,607.0","-1.77","17,269","2.31"
"1982","日比谷総合設備","東P","5130","+40.0(+0.79%)","5,130.0","0.79","121,870","0.81"
"198A","ＰｏｓｔＰｒｉｍｅ","東G","252","-13.0(-4.91%)","252.0","-4.91","2,584","0.47"
"1992","神田通信機","東S","2720","+1.0(+0.04%)","2,720.0","0.04","7,135","1.00"
"1994","高橋カーテンウォール工業","東S","539","+5.0(+0.94%)","539.0","0.94","5,149","1.73"
"1997","暁飯島工業","東S","4365","+160.0(+3.80%)","4,365.0","3.80","9,603","1.67"
"1999","サイタＨＬＤＧ","福","4300","+0.0(+0.00%)","4,300.0","0.00","2,842","1.67"
"2001","ニップン","東P","2610","+10.0(+0.38%)","2,610.0","0.38","221,138","0.68"
"2002","日清製粉グループ本社","東P","2006.5","-9.0(-0.45%)","2,006.5","-0.45","583,205","0.83"
"2003","日東富士製粉","東S","7070","-30.0(-0.42%)","7,070.0","-0.42","66,350","1.80"
"2004","昭和産業","東P","3235","+15.0(+0.47%)","3,235.0","0.47","106,740","0.96"
"2009","鳥越製粉","東S","1065","-5.0(-0.47%)","1,065.0","-0.47","27,729","0.73"
"202A","豆蔵","東G","4020","-50.0(-1.23%)","4,020.0","-1.23","64,521","0.40"
"2053","中部飼料","東P","1768","-10.0(-0.56%)","1,768.0","-0.56","53,698","0.97"
"2055","日和産業","東S","350","+1.0(+0.29%)","350.0","0.29","7,291","0.11"
"2058","ヒガシマル","福","989","+4.0(+0.41%)","989.0","0.41","4,694","0.60"
"205A","ロゴスＨＬＤＧ","東G","1677","-20.0(-1.18%)","1,677.0","-1.18","6,580","1.23"
"2060","フィード・ワン","東P","1090","-5.0(-0.46%)","1,090.0","-0.46","41,940","1.22"
"206A","ＰＲＩＳＭ　ＢｉｏＬａｂ","東G","190","+6.0(+3.26%)","190.0","3.26","7,017","0.58"
"208A","構造計画研究所ＨＬＤＧ","東S","3205","+15.0(+0.47%)","3,205.0","0.47","35,255","1.05"
"2108","日本甜菜製糖","東P","4170","+105.0(+2.58%)","4,170.0","2.58","53,418","3.69"
"2109","ＤＭ三井製糖","東P","3480","+20.0(+0.58%)","3,480.0","0.58","109,497","0.81"
"2112","塩水港精糖","東S","585","+1.0(+0.17%)","585.0","0.17","20,475","0.87"
"2114","フジ日本","東S","636","+5.0(+0.79%)","636.0","0.79","32,714","0.81"
"2117","ウェルネオシュガー","東P","2924","+19.0(+0.65%)","2,924.0","0.65","95,907","0.70"
"211A","カドス","東S","4420","+20.0(+0.45%)","4,420.0","0.45","4,475","3.03"
"2120","ＬＩＦＵＬＬ","東P","181","+2.0(+1.12%)","181.0","1.12","24,323","1.36"
"2121","ＭＩＸＩ","東P","2763","+36.0(+1.32%)","2,763.0","1.32","197,087","1.08"
"2122","インタースペース","東S","1277","+7.0(+0.55%)","1,277.0","0.55","8,897","1.80"
"2124","ジェイエイシーリクルートメント","東P","1039","+12.0(+1.17%)","1,039.0","1.17","172,014","0.66"
"2127","日本Ｍ＆ＡセンターＨＬＤＧ","東P","727.5","+6.5(+0.90%)","727.5","0.90","245,120","1.09"
"212A","フィットイージー","東P","2622","+50.0(+1.94%)","2,622.0","1.94","43,316","1.20"
"2130","メンバーズ","東P","1459","+45.0(+3.18%)","1,459.0","3.18","19,585","2.69"
"2134","北浜キャピタルパートナーズ","東S","41","+4.0(+10.81%)","41.0","10.81","22,455","2.10"
"2136","ヒップ","東S","1644","+15.0(+0.92%)","1,644.0","0.92","6,535","0.75"
"2138","クルーズ","東S","603","+4.0(+0.67%)","603.0","0.67","7,813","0.31"
"2139","中広","東S","450","+3.0(+0.67%)","450.0","0.67","3,170","0.85"
"2146","ＵＴグループ","東P","218","+3.0(+1.40%)","218.0","1.40","130,625","1.49"
"2148","アイティメディア","東P","1736","+33.0(+1.94%)","1,736.0","1.94","36,585","1.90"
"2152","幼児活動研究会","東S","1489","+19.0(+1.29%)","1,489.0","1.29","17,546","0.78"
"2153","Ｅ・Ｊ　ＨＬＤＧ","東P","1874","+47.0(+2.57%)","1,874.0","2.57","34,442","1.03"
"2154","オープンアップグループ","東P","1919","+0.0(+0.00%)","1,919.0","0.00","176,208","1.17"
"2156","セーラー広告","東S","335","+1.0(+0.30%)","335.0","0.30","2,036","0.54"
"2157","コシダカＨＬＤＧ","東P","1183","+19.0(+1.63%)","1,183.0","1.63","99,113","0.57"
"2158","ＦＲＯＮＴＥＯ","東G","885","+16.0(+1.84%)","885.0","1.84","34,880","0.77"
"215A","タイミー","東G","1402","+48.0(+3.55%)","1,402.0","3.55","141,128","1.33"
"2160","ジーエヌアイグループ","東G","2751","+116.0(+4.40%)","2,751.0","4.40","153,181","1.79"
"2162","ｎｍｓ　ＨＬＤＧ","東S","480","-3.0(-0.62%)","480.0","-0.62","10,373","1.09"
"2163","アルトナー","東P","2191","+22.0(+1.01%)","2,191.0","1.01","23,286","1.34"
"2164","地域新聞社","東G","292","+39.0(+15.42%)","292.0","15.42","2,193","18.39"
"2168","パソナグループ","東P","2085","+12.0(+0.58%)","2,085.0","0.58","83,797","0.59"
"2169","ＣＤＳ","東S","1828","+3.0(+0.16%)","1,828.0","0.16","12,658","0.53"
"2170","リンクアンドモチベーション","東P","528","+4.0(+0.76%)","528.0","0.76","58,575","1.31"
"2173","博展","東G","1040","+36.0(+3.59%)","1,040.0","3.59","16,898","0.69"
"2175","エス・エム・エス","東P","1675","+59.0(+3.65%)","1,675.0","3.65","146,666","0.49"
"2179","成学社","東S","825","+17.0(+2.10%)","825.0","2.10","4,848","6.27"
"2180","サニーサイドアップグループ","東S","868","-21.0(-2.36%)","868.0","-2.36","13,192","1.13"
"2181","パーソルＨＬＤＧ","東P","281.4","+2.4(+0.86%)","281.4","0.86","641,152","0.98"
"2183","リニカル","東S","318","+0.0(+0.00%)","318.0","0.00","7,867","2.04"
"2185","シイエム・シイ","東S","1778","+1.0(+0.06%)","1,778.0","0.06","25,539","0.50"
"2186","ソーバル","東S","914","+1.0(+0.11%)","914.0","0.11","7,465","0.35"
"218A","Ｌｉｂｅｒａｗａｒｅ","東G","1482","+38.0(+2.63%)","1,482.0","2.63","28,099","0.65"
"2193","クックパッド","東S","159","+1.0(+0.63%)","159.0","0.63","17,081","0.91"
"2195","アミタＨＬＤＧ","東G","373","+5.0(+1.36%)","373.0","1.36","6,549","0.68"
"2196","エスクリ","東S","168","+0.0(+0.00%)","168.0","0.00","3,991","1.16"
"2198","アイ・ケイ・ケイＨＬＤＧ","東P","805","+4.0(+0.50%)","805.0","0.50","24,115","0.74"
"219A","Ｈｅａｒｔｓｅｅｄ","東G","2037","+36.0(+1.80%)","2,037.0","1.80","46,562","0.78"
"2201","森永製菓","東P","2760.0","-30.0(-1.08%)","2,760.0","-1.08","237,668","1.24"
"2204","中村屋","東S","3130","+5.0(+0.16%)","3,130.0","0.16","18,706","2.08"
"2206","江崎グリコ","東P","5427.0","-35.0(-0.64%)","5,427.0","-0.64","371,579","0.81"
"2207","ｍｅｉｔｏ","東P","2516","-9.0(-0.36%)","2,516.0","-0.36","43,500","1.01"
"2208","ブルボン","東S","2742","+4.0(+0.15%)","2,742.0","0.15","75,953","0.79"
"2209","井村屋グループ","東P","2506","-3.0(-0.12%)","2,506.0","-0.12","32,794","1.29"
"220A","Ｆａｂｅｒ　Ｃｏｍｐａｎｙ","東S","1009","-1.0(-0.10%)","1,009.0","-0.10","3,027","0.95"
"2211","不二家","東P","2575","-17.0(-0.66%)","2,575.0","-0.66","66,395","0.50"
"2212","山崎製パン","東P","3443.0","-3.0(-0.09%)","3,443.0","-0.09","758,434","0.62"
"2215","第一屋製パン","東S","617","-2.0(-0.32%)","617.0","-0.32","4,276","0.71"
"2216","カンロ","東S","1698","-30.0(-1.74%)","1,698.0","-1.74","78,018","0.75"
"2217","モロゾフ","東P","1590","+10.0(+0.63%)","1,590.0","0.63","33,812","1.48"
"2218","日糧製パン","札","2298","+0.0(+0.00%)","2,298.0","0.00","4,835","0.67"
"2220","亀田製菓","東P","3840","-25.0(-0.65%)","3,840.0","-0.65","85,704","1.20"
"2221","岩塚製菓","東S","3040","+0.0(+0.00%)","3,040.0","0.00","36,450","0.87"
"2222","寿スピリッツ","東P","1819.0","-1.5(-0.08%)","1,819.0","-0.08","283,143","0.88"
"2224","コモ","東S","3550","+0.0(+0.00%)","3,550.0","0.00","12,886","1.78"
"2226","湖池屋","東S","4685","+0.0(+0.00%)","4,685.0","0.00","49,989","4.17"
"2229","カルビー","東P","3050.0","+3.0(+0.10%)","3,050.0","0.10","408,486","0.53"
"2264","森永乳業","東P","3986.0","-50.0(-1.24%)","3,986.0","-1.24","354,934","0.87"
